"gender","fedchamb_flag","interject","n","date"
"female",0,1,2,2021-02-16
"female",1,0,9,2021-02-16
"male",0,0,94,2021-02-16
"male",0,1,15,2021-02-16
"male",1,0,19,2021-02-16
NA,0,0,21,2021-02-16
NA,0,1,7,2021-02-16
NA,1,0,7,2021-02-16
NA,1,1,1,2021-02-16
"female",0,0,25,2021-02-15
"female",0,1,2,2021-02-15
"female",1,0,35,2021-02-15
"female",1,1,7,2021-02-15
"male",0,0,142,2021-02-15
"male",0,1,27,2021-02-15
"male",1,0,69,2021-02-15
"male",1,1,6,2021-02-15
NA,0,0,61,2021-02-15
NA,0,1,10,2021-02-15
NA,1,0,22,2021-02-15
NA,1,1,9,2021-02-15
"female",0,0,39,2021-02-04
"female",0,1,3,2021-02-04
"female",1,0,7,2021-02-04
"male",0,0,111,2021-02-04
"male",0,1,36,2021-02-04
"male",1,0,23,2021-02-04
NA,0,0,80,2021-02-04
NA,0,1,22,2021-02-04
NA,1,0,6,2021-02-04
"female",0,0,35,2021-02-03
"female",0,1,5,2021-02-03
"female",1,0,3,2021-02-03
"male",0,0,103,2021-02-03
"male",0,1,27,2021-02-03
"male",1,0,13,2021-02-03
NA,0,0,73,2021-02-03
NA,0,1,17,2021-02-03
NA,1,0,7,2021-02-03
"female",0,0,25,2021-02-02
"female",0,1,2,2021-02-02
"female",1,0,6,2021-02-02
"male",0,0,115,2021-02-02
"male",0,1,18,2021-02-02
"male",1,0,15,2021-02-02
"male",1,1,1,2021-02-02
NA,0,0,68,2021-02-02
NA,0,1,18,2021-02-02
NA,1,0,8,2021-02-02
"female",0,0,34,2020-12-10
"female",0,1,6,2020-12-10
"female",1,0,7,2020-12-10
"male",0,0,146,2020-12-10
"male",0,1,27,2020-12-10
"male",1,0,33,2020-12-10
NA,0,0,99,2020-12-10
NA,0,1,19,2020-12-10
NA,1,0,18,2020-12-10
"female",0,0,48,2020-12-09
"female",0,1,12,2020-12-09
"female",1,0,16,2020-12-09
"female",1,1,2,2020-12-09
"male",0,0,158,2020-12-09
"male",0,1,22,2020-12-09
"male",1,0,36,2020-12-09
"male",1,1,7,2020-12-09
NA,0,0,106,2020-12-09
NA,0,1,8,2020-12-09
NA,1,0,24,2020-12-09
NA,1,1,4,2020-12-09
"female",0,0,29,2020-12-08
"female",0,1,4,2020-12-08
"female",1,0,3,2020-12-08
"male",0,0,142,2020-12-08
"male",0,1,47,2020-12-08
"male",1,0,23,2020-12-08
"male",1,1,3,2020-12-08
NA,0,0,116,2020-12-08
NA,0,1,17,2020-12-08
NA,1,0,10,2020-12-08
NA,1,1,3,2020-12-08
"female",0,0,60,2020-12-07
"female",0,1,5,2020-12-07
"female",1,0,41,2020-12-07
"female",1,1,3,2020-12-07
"male",0,0,124,2020-12-07
"male",0,1,32,2020-12-07
"male",1,0,58,2020-12-07
"male",1,1,9,2020-12-07
NA,0,0,78,2020-12-07
NA,0,1,26,2020-12-07
NA,1,0,29,2020-12-07
NA,1,1,3,2020-12-07
"female",0,0,26,2020-12-03
"female",0,1,7,2020-12-03
"female",1,0,7,2020-12-03
"male",0,0,113,2020-12-03
"male",0,1,19,2020-12-03
"male",1,0,26,2020-12-03
"male",1,1,7,2020-12-03
NA,0,0,64,2020-12-03
NA,0,1,8,2020-12-03
NA,1,0,14,2020-12-03
NA,1,1,6,2020-12-03
"female",0,0,41,2020-12-02
"female",0,1,10,2020-12-02
"female",1,0,6,2020-12-02
"female",1,1,1,2020-12-02
"male",0,0,119,2020-12-02
"male",0,1,20,2020-12-02
