"uniqueID","division","mpFrom","mpTo","phid","deathDate"
"Sullivan1950","Longman",2007-11-24,2010-08-21,"HVS",NA
"Swan1954","Lilley",1998-10-03,2019-04-11,"2V5",NA
"Swanson1970","Paterson",2016-07-02,NA,"264170",NA
"Symon1965","Deakin",2007-11-24,2013-09-07,"HW8",NA
"Tanner1956","Melbourne",1993-03-13,2010-07-19,"YU5",NA
"Taylor1938","Groom",1988-04-09,1998-08-31,"OJ4",NA
"Taylor1966","Hume",2013-09-07,NA,"231027",NA
"Tehan1968","Wannon",2010-08-21,NA,"210911",NA
"Templeman1963","Macquarie",2016-07-02,NA,"181810",NA
"Theophanous1946","Calwell",1984-12-01,2001-11-10,"QJ4",NA
"Thistlethwaite1972","Kingsford Smith",2013-09-07,NA,"182468",NA
"Thompson1960","Blair",1998-10-03,2007-11-24,"84C",NA
"Thompson1988","Herbert",2019-05-18,NA,"281826",NA
"Thomson1955","Wills",1996-03-02,2016-05-09,"UK6",NA
